date,daily_total,dow,week_weekend,device,temp,prcp
2015-06-15,15551,Mon,Weekday,Accupedo,14.7,0
2015-06-16,14967,Tue,Weekday,Accupedo,12.9,0
2015-06-17,16104,Wed,Weekday,Accupedo,16.5,0
2015-06-18,33080,Thu,Weekday,Accupedo,14.8,3
2015-06-19,16296,Fri,Weekday,Accupedo,13.5,0
2015-06-20,3400,Sat,Weekend,Accupedo,13.7,0.3
2015-06-21,14759,Sun,Weekend,Accupedo,16.3,2
2015-06-22,2859,Mon,Weekday,Accupedo,11.9,0
2015-06-23,16519,Tue,Weekday,Accupedo,12.9,0
2015-06-24,23708,Wed,Weekday,Accupedo,15.6,0
2015-06-25,27233,Thu,Weekday,Accupedo,18.5,0
2015-06-26,13984,Fri,Weekday,Accupedo,21.1,0
2015-06-27,3253,Sat,Weekend,Accupedo,18.3,0
2015-06-28,12414,Sun,Weekend,Accupedo,18.7,0
2015-06-29,14173,Mon,Weekday,Accupedo,19.2,0
2015-06-30,11007,Tue,Weekday,Accupedo,21.3,0
2015-07-01,18984,Wed,Weekday,Accupedo,26.3,0
2015-07-02,11685,Thu,Weekday,Accupedo,25.6,0
2015-07-03,13921,Fri,Weekday,Accupedo,24.8,0
2015-07-04,7573,Sat,Weekend,Accupedo,27.2,0
2015-07-05,19294,Sun,Weekend,Accupedo,20.4,0
2015-07-06,10207,Mon,Weekday,Accupedo,19.6,0
2015-07-07,21322,Tue,Weekday,Accupedo,20.7,0
2015-07-08,12403,Wed,Weekday,Accupedo,15.9,0
2015-07-09,15387,Thu,Weekday,Accupedo,15,0.5
2015-07-10,14549,Fri,Weekday,Accupedo,17.3,0
2015-07-11,19555,Sat,Weekend,Accupedo,21.3,0
2015-07-12,10155,Sun,Weekend,Accupedo,16.4,0
2015-07-13,23905,Mon,Weekday,Accupedo,16.9,1
2015-07-14,9913,Tue,Weekday,Accupedo,18.3,0
2015-07-15,23858,Wed,Weekday,Accupedo,18.6,0
2015-07-16,11241,Thu,Weekday,Accupedo,21.4,0
2015-07-17,18554,Fri,Weekday,Accupedo,24,0
2015-07-18,11483,Sat,Weekend,Accupedo,19.3,0.3
2015-07-19,15392,Sun,Weekend,Accupedo,17.7,0.5
2015-07-20,10738,Mon,Weekday,Accupedo,19.6,0.5
2015-07-21,14027,Tue,Weekday,Accupedo,21.9,0
2015-07-22,10731,Wed,Weekday,Accupedo,20.3,0
2015-07-23,25644,Thu,Weekday,Accupedo,18.2,0
2015-07-24,8753,Fri,Weekday,Accupedo,19.8,0
2015-07-25,7710,Sat,Weekend,Accupedo,14.9,4.1
2015-07-26,1318,Sun,Weekend,Accupedo,14.3,3
2015-07-27,14529,Mon,Weekday,Accupedo,16.4,0.3
2015-07-28,13867,Tue,Weekday,Accupedo,15,1
2015-07-29,11091,Wed,Weekday,Accupedo,15.1,0
2015-07-30,10293,Thu,Weekday,Accupedo,13.2,3
2015-07-31,15683,Fri,Weekday,Accupedo,14.1,0
2015-08-01,17427,Sat,Weekend,Accupedo,16.5,0
2015-08-02,178,Sun,Weekend,Accupedo,19.5,0
2015-08-03,16956,Mon,Weekday,Accupedo,24.7,0
2015-08-04,12283,Tue,Weekday,Accupedo,18,0
2015-08-05,6880,Wed,Weekday,Accupedo,20.6,2.5
2015-08-06,379,Thu,Weekday,Accupedo,22.6,0
2015-08-07,13402,Fri,Weekday,Accupedo,20.7,0.3
2015-08-08,36330,Sat,Weekend,Accupedo,20.1,0
2015-08-09,10912,Sun,Weekend,Accupedo,18.2,0
2015-08-10,5361,Mon,Weekday,Accupedo,20.2,0
2015-08-11,10889,Tue,Weekday,Accupedo,19.8,0
2015-08-12,12829,Wed,Weekday,Accupedo,22,0
2015-08-13,10657,Thu,Weekday,Accupedo,22.4,0
2015-08-14,15432,Fri,Weekday,Accupedo,21.2,12.2
2015-08-15,11340,Sat,Weekend,Accupedo,16.8,15.7
2015-08-16,307,Sun,Weekend,Accupedo,16.6,0
2015-08-17,9542,Mon,Weekday,Accupedo,14.2,1
2015-08-18,12260,Tue,Weekday,Accupedo,14.4,2.5
2015-08-19,13467,Wed,Weekday,Accupedo,17.7,2.5
2015-08-20,13652,Thu,Weekday,Accupedo,18.9,0
2015-08-21,16947,Fri,Weekday,Accupedo,20.9,0
2015-08-22,14864,Sat,Weekend,Accupedo,22.3,0
2015-08-23,10828,Sun,Weekend,Accupedo,19.3,0
2015-08-24,11623,Mon,Weekday,Accupedo,16.7,0
2015-08-25,19222,Tue,Weekday,Accupedo,16.6,0.3
2015-08-26,10170,Wed,Weekday,Accupedo,21.1,1.8
2015-08-27,17451,Thu,Weekday,Accupedo,15.4,1.3
2015-08-28,13467,Fri,Weekday,Accupedo,15.7,11.9
2015-08-29,12499,Sat,Weekend,Accupedo,18.1,0
2015-08-30,6365,Sun,Weekend,Accupedo,23.2,0
2015-08-31,19417,Mon,Weekday,Accupedo,21.6,2
2015-09-01,16956,Tue,Weekday,Accupedo,15.6,3.3
2015-09-02,7225,Wed,Weekday,Accupedo,14,0
2015-09-03,15378,Thu,Weekday,Accupedo,13,0
2015-09-04,16157,Fri,Weekday,Accupedo,13.1,0
2015-09-05,22027,Sat,Weekend,Accupedo,12.6,0
2015-09-06,12273,Sun,Weekend,Accupedo,12.4,0
2015-09-07,24139,Mon,Weekday,Accupedo,14.3,0
2015-09-08,24349,Tue,Weekday,Accupedo,14.6,0
